battle,link,date,coordinates
Battle of Azukizaka,https://en.wikipedia.org/wiki/Battle_of_Azukizaka_(1564),1564 AD,34.930315306°N 137.178297694°E
Battle of Affane,https://en.wikipedia.org/wiki/Battle_of_Affane,1565 AD,52.124722°N 7.837778°W
Siege of Malta,https://en.wikipedia.org/wiki/Siege_of_Malta_(1565),1565 AD,35.89194°N 14.51833°E
Battle of Glentaisie,https://en.wikipedia.org/wiki/Battle_of_Glentaisie,1565 AD,55.183°N 6.267°W
Battle of Fukuda Bay,https://en.wikipedia.org/wiki/Battle_of_Fukuda_Bay,1565 AD,32.7444354°N 129.8262666°E
Battle of Axtorna,https://en.wikipedia.org/wiki/Battle_of_Axtorna,1565 AD,57.040°N 12.643°E
Battle of Szigetvár,https://en.wikipedia.org/wiki/Battle_of_Szigetv%C3%A1r,1566 AD,46.050663°N 17.797354°E
Battle of Oosterweel,https://en.wikipedia.org/wiki/Battle_of_Oosterweel,1567 AD,51.2436°N 4.3853°E
Siege of Inabayama Castle,https://en.wikipedia.org/wiki/Siege_of_Inabayama_Castle,1567 AD,35.26000°N 136.46000°E
Battle of Saint-Denis,https://en.wikipedia.org/wiki/Battle_of_Saint-Denis_(1567),1567 AD,48.5608°N 2.2114°E
Battle of Digomi,https://en.wikipedia.org/wiki/Battle_of_Digomi,1567 AD,41.76667°N 44.73333°E
Battle of Farsetmore,https://en.wikipedia.org/wiki/Battle_of_Farsetmore,1567 AD,54.954061°N 7.690015°E
Siege of Chartres,https://en.wikipedia.org/wiki/Siege_of_Chartres_(1568),1568 AD,48.456°N 1.484°E
Battle of Dahlen,https://en.wikipedia.org/wiki/Battle_of_Dahlen,1568 AD,51.133°N 6.367°E
Battle of Langside,https://en.wikipedia.org/wiki/Battle_of_Langside,1568 AD,55.8277°N 4.27056°W
Battle of Heiligerlee,https://en.wikipedia.org/wiki/Battle_of_Heiligerlee_(1568),1568 AD,53.150°N 7.017°E
Battle of Jemmingen,https://en.wikipedia.org/wiki/Battle_of_Jemmingen,1568 AD,53.250°N 7.383°E
Battle of San Juan de Ulúa,https://en.wikipedia.org/wiki/Battle_of_San_Juan_de_Ul%C3%BAa_(1568),1568 AD,19.20750°N 96.13250°W
Battle of Jodoigne,https://en.wikipedia.org/wiki/Battle_of_Jodoigne,1568 AD,50.717°N 4.867°E
Siege of Hachigata,https://en.wikipedia.org/wiki/Siege_of_Hachigata_1568,1568 AD,36.1092°N 139.196°E
Battle of Catirai,https://en.wikipedia.org/wiki/Battle_of_Catirai,1569 AD,37.18556°S 72.93278°W
Battle of Mimasetoge,https://en.wikipedia.org/wiki/Battle_of_Mimasetoge,1569 AD,35.53500°N 139.29444°E
Battle of Jarnac,https://en.wikipedia.org/wiki/Battle_of_Jarnac,1569 AD,45.681°N 0.175°W
Battle of Orthez,https://en.wikipedia.org/wiki/Battle_of_Orthez_(1569),1569 AD,43.49°N 0.77°W
