battle,link,date
Battle of Leuctra,https://en.wikipedia.org/wiki/Battle_of_Leuctra,371 BC
Siege of Theodosia (c. 365 BC),https://en.wikipedia.org/wiki/Siege_of_Theodosia_(c._365_BC),365 BC
Battle of Cynoscephalae,https://en.wikipedia.org/wiki/Battle_of_Cynoscephalae_(364_BC),364 BC
Battle of Mantinea,https://en.wikipedia.org/wiki/Battle_of_Mantinea_(362_BC),362 BC
Battle of the Anio River,https://en.wikipedia.org/wiki/Battle_of_the_Anio_River_(361_BC),361 BC
Siege of Theodosia (c. 360 BC),https://en.wikipedia.org/wiki/Siege_of_Theodosia_(c._360_BC),360 BC
Battle of Methone,https://en.wikipedia.org/wiki/Expansion_of_Macedonia_under_Philip_II,359 BC
Battle of Erigon Valley,https://en.wikipedia.org/wiki/Battle_of_Erigon_Valley,358 BC
Battle of Embata,https://en.wikipedia.org/wiki/Battle_of_Embata,356 BC
Battle of Crocus Field,https://en.wikipedia.org/wiki/Battle_of_Crocus_Field,353 BC
Battle of Guiling,https://en.wikipedia.org/wiki/Battle_of_Guiling,353 BC
Battle of Mount Gaurus,https://en.wikipedia.org/wiki/Battle_of_Mount_Gaurus,343 BC
Battle of Suessula,https://en.wikipedia.org/wiki/Battle_of_Suessula,343 BC
Battle of Maling,https://en.wikipedia.org/wiki/Battle_of_Maling,342 BC
Battle of Vesuvius,https://en.wikipedia.org/wiki/Battle_of_Vesuvius,339 BC
Battle of the Crimissus,https://en.wikipedia.org/wiki/Battle_of_the_Crimissus,339 BC
Battle of Chaeronea,https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),338 BC
Battle of Trifanum,https://en.wikipedia.org/wiki/Battle_of_Trifanum,338 BC
Siege of Pelium,https://en.wikipedia.org/wiki/Siege_of_Pelium,335 BC
Battle of Thebes,https://en.wikipedia.org/wiki/Battle_of_Thebes,335 BC
Battle of the Granicus,https://en.wikipedia.org/wiki/Battle_of_the_Granicus,334 BC
Siege of Miletus,https://en.wikipedia.org/wiki/Siege_of_Miletus,334 BC
Siege of Halicarnassus,https://en.wikipedia.org/wiki/Siege_of_Halicarnassus,334 BC
Battle of Issus,https://en.wikipedia.org/wiki/Battle_of_Issus,333 BC
Siege of Tyre (332 BC),https://en.wikipedia.org/wiki/Siege_of_Tyre_(332_BC),332 BC
Siege of Gaza,https://en.wikipedia.org/wiki/Siege_of_Gaza,332 BC
Battle of Pandosia,https://en.wikipedia.org/wiki/Battle_of_Pandosia,331 BC
Battle of Megalopolis,https://en.wikipedia.org/wiki/Battle_of_Megalopolis,331 BC
Battle of Gaugamela,https://en.wikipedia.org/wiki/Battle_of_Gaugamela,331 BC
Battle of the Uxian Defile,https://en.wikipedia.org/wiki/Battle_of_the_Uxian_Defile,331 BC
Battle of the Persian Gate,https://en.wikipedia.org/wiki/Battle_of_the_Persian_Gate,330 BC
Siege of Cyropolis,https://en.wikipedia.org/wiki/Siege_of_Cyropolis,329 BC
Battle of Jaxartes,https://en.wikipedia.org/wiki/Battle_of_Jaxartes,329 BC
Capture of Neapolis,https://en.wikipedia.org/wiki/Capture_of_Neapolis,327 BC
Siege of the Sogdian Rock,https://en.wikipedia.org/wiki/Siege_of_the_Sogdian_Rock,327 BC
Siege of Aornos,https://en.wikipedia.org/wiki/Siege_of_Aornos,327 BC
Battle of the Hydaspes,https://en.wikipedia.org/wiki/Battle_of_the_Hydaspes,326 BC
Battle of Plataea,https://en.wikipedia.org/wiki/Battle_of_Plataea_(323_BC),323 BC
